"voted2004","gender","ageY","ageC","educationC","incomeC","partyAffiliation","percentAttended"
"no","M",56.3142919676078,"(54.2,108]","secondary","< 35k","Democrat",0.431818181818182
"yes","M",29.3417596848326,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0
"yes","F",46.3339899321515,"(45.8,54.2]","primary","< 35k","Democrat",0.157894736842105
"yes","M",45.4503173560954,"(36.7,45.8]","secondary","35k-75k","Democrat",0.170731707317073
"yes","F",25.815276865835,"(19.2,36.7]","primary","> 75k","Unaffiliated/Other",0
"yes","F",63.2988618953819,"(54.2,108]","secondary","> 75k","Republican",0.318181818181818
"yes","F",21.238235937842,"(19.2,36.7]","secondary","< 35k","Unaffiliated/Other",0
"yes","M",21.3558765594222,"(19.2,36.7]","secondary","35k-75k","Unaffiliated/Other",0.25
"yes","M",52.3883782009192,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0.292682926829268
"no","M",31.2978769971547,"(19.2,36.7]","secondary","> 75k","Unaffiliated/Other",0.117647058823529
"yes","F",53.1708251258481,"(45.8,54.2]","secondary","35k-75k","Unaffiliated/Other",0.0227272727272727
"yes","M",49.5184942000438,"(45.8,54.2]","primary","35k-75k","Republican",0.318181818181818
"yes","F",60.177281680893,"(54.2,108]","secondary","> 75k","Republican",0.568181818181818
"no","F",44.435325016415,"(36.7,45.8]","secondary","> 75k","Democrat",0.568181818181818
